"","Word","Group","Speaker","Rater","Natural","Intell","vowel","cons"
"313","lani","CON","CON03","Rater24",73,58,"a","alv"
"314","lani","CON","CON03","Rater25",74,75,"a","alv"
"315","lani","CON","CON03","Rater26",68,75,"a","alv"
"316","lani","CON","CON03","Rater27",72,97,"a","alv"
"317","lani","CON","CON03","Rater28",38,76,"a","alv"
"318","lani","CON","CON03","Rater29",74,61,"a","alv"
"319","lani","CON","CON03","Rater30",92,91,"a","alv"
"320","lani","CON","CON03","Rater31",89,101,"a","alv"
"321","lani","CON","CON03","Rater32",69,83,"a","alv"
"322","lani","CON","CON03","Rater33",74,97,"a","alv"
"323","lani","CON","CON03","Rater34",47,68,"a","alv"
"324","lani","CON","CON03","Rater35",72,65,"a","alv"
"325","lani","CON","CON03","Rater36",91,101,"a","alv"
"326","lani","CON","CON03","Rater37",96,98,"a","alv"
"327","lani","CON","CON03","Rater38",81,69,"a","alv"
"328","lani","CON","CON03","Rater39",50,51,"a","alv"
"329","lani","CON","CON03","Rater40",56,63,"a","alv"
"330","lani","CON","CON03","Rater41",64,101,"a","alv"
"331","lani","CON","CON07","Rater1",61,85,"a","alv"
"332","lani","CON","CON07","Rater2",101,101,"a","alv"
"333","lani","CON","CON07","Rater3",101,101,"a","alv"
"334","lani","CON","CON07","Rater4",90,93,"a","alv"
"335","lani","CON","CON07","Rater5",101,101,"a","alv"
"336","lani","CON","CON07","Rater6",101,101,"a","alv"
"337","lani","CON","CON07","Rater7",100,99,"a","alv"
"338","lani","CON","CON07","Rater8",101,101,"a","alv"
"339","lani","CON","CON07","Rater9",93,99,"a","alv"
"340","lani","CON","CON07","Rater10",99,101,"a","alv"
"341","lani","CON","CON07","Rater11",47,87,"a","alv"
"342","lani","CON","CON07","Rater12",92,101,"a","alv"
"343","lani","CON","CON07","Rater13",101,101,"a","alv"
"344","lani","CON","CON07","Rater14",87,101,"a","alv"
"345","lani","CON","CON07","Rater15",90,96,"a","alv"
"346","lani","CON","CON07","Rater16",100,100,"a","alv"
"347","lani","CON","CON07","Rater17",36,66,"a","alv"
"348","lani","CON","CON07","Rater18",76,89,"a","alv"
"349","lani","CON","CON07","Rater19",98,98,"a","alv"
"350","lani","CON","CON07","Rater20",86,97,"a","alv"
"351","lani","CON","CON07","Rater21",84,85,"a","alv"
"352","lani","CON","CON07","Rater22",77,89,"a","alv"
"353","lani","CON","CON07","Rater23",101,101,"a","alv"
"354","lani","CON","CON07","Rater24",78,55,"a","alv"
"355","lani","CON","CON07","Rater25",87,87,"a","alv"
"356","lani","CON","CON07","Rater26",94,97,"a","alv"
"357","lani","CON","CON07","Rater27",94,101,"a","alv"
"358","lani","CON","CON07","Rater28",84,89,"a","alv"
"359","lani","CON","CON07","Rater29",46,64,"a","alv"
"360","lani","CON","CON07","Rater30",73,63,"a","alv"
"361","lani","CON","CON07","Rater31",65,100,"a","alv"
"362","lani","CON","CON07","Rater32",100,100,"a","alv"
"363","lani","CON","CON07","Rater33",101,101,"a","alv"
